company,E,S,G,avg_semantic_score,total_esg_sentences
sap-2023-integrated-report.pdf,8,0,26,0.3282975588320411,34
DHL-Group-2023-ESG-Presentation.pdf,11,4,4,0.3768136670722562,19
Deutsche Telekom-corporate-responsibility-report-2023.pdf,45,8,25,0.33464683250654187,78
TUI Group_sustainability-2023.pdf,95,40,28,0.3330400407026607,163
EON_GB23_engl_gesamt_final.pdf,7,1,4,0.33646405286971476,12
deutsche_bank-Non-Financial-Report-2023.pdf,26,11,34,0.34067837075301394,71
bayer-sustainability-report-2023.pdf,110,42,18,0.3266710469890163,170
2023_Volkswagen_Group_Sustainability_Report.pdf,37,10,22,0.31639932809821975,69
Nestle Deutschland-creating-shared-value-sustainability-report-2023-en.pdf,197,8,22,0.3515506133283759,227
Siemens_sustainability-report-fy2023-peru.pdf,49,5,4,0.34923017180333005,58
